HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
10829,Impaired temperature sensation,,-,,-,0
10831,Impaired proprioception,,-,,-,0
10837,Decreased serum ceruloplasmin,,-,,-,0
10838,High nonceruloplasmin-bound serum copper,,-,,-,0
10845,EEG with generalized slow activity,,-,,-,0
10849,EEG with spike-wave complexes (>3.5 Hz),,-,,-,0
10851,EEG with burst suppression,,-,,-,0
10864,"Intellectual disability, severe",315.3,Mental retardation,,0,13
10871,Sensory ataxia,334.1,Spinocerebellar disease,,0,6
10874,Tendon xanthomatosis,,-,,-,0
10878,Fetal cystic hygroma,,-,Pregnancy-related,-,0
10880,Increased nuchal translucency,,-,Congenital,-,0
10883,Aortic valve atresia,747.12,Valvular heart disease/ heart chambers,Congenital,1,0
10885,Aseptic necrosis,733.4,Aseptic necrosis of bone,,0,4
10886,Osteochondrosis dissecans,732.7,Osteochondritis dissecans,,0,1
10892,Abnormality of branched chain family amino acid metabolism,,-,,-,0
10920,Zonular cataract,366,Cataract,,0,0
10922,Membranous cataract,366,Cataract,,0,0
10934,Xanthinuria,,-,Congenital,-,0
10935,Abnormality of the upper urinary tract,,-,,-,0
10956,Fetal megacystis,,-,,-,0
10957,Congenital posterior urethral valve,751.2,Congenital anomalies of urinary system,Congenital,1,0
10970,Blood group antigen abnormality,,-,,-,0
10971,Absence of Lutheran antigen on erythrocytes,,-,,-,0
10972,Anemia of inadequate production,284,Aplastic anemia,,0,2
10976,B lymphocytopenia,,-,,-,0
10978,Abnormality of immune system physiology,,-,,-,0
10980,Hyperlipoproteinemia,272.1,Hyperlipidemia,,0,0
10989,Abnormality of the intrinsic pathway,,-,,-,0
10997,Chromosomal breakage induced by ionizing radiation,758.1,Chromosomal anomalies,Congenital,1,0
10999,Aplasia of the optic tract,,-,Congenital,-,0
11001,Increased bone mineral density,,-,,-,0
11002,Osteopetrosis,756.5,Congenital osteodystrophies,Congenital,1,0
11003,Severe Myopia,360.2,Progressive myopia,,0,8
11020,Abnormality of mucopolysaccharide metabolism,,-,,-,0
11024,Abnormality of the gastrointestinal tract,,-,,-,0
11031,Abnormality of iron homeostasis,,-,,-,0
11034,Amyloidosis,270.33,Amyloidosis,,0,3
11039,Abnormality of the helix,,-,,-,0
11060,Dentinogenesis imperfecta limited to primary teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
11065,Conical incisor,,-,,-,0
11068,Odontoma,,-,,-,0
11069,Increased number of teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
11073,Abnormality of dental color,,-,,-,0
11085,Hypomature dental enamel,521.2,"Dental abrasion, erosion and attrition",,0,0
11087,Talon cusp,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
11090,Fused teeth,520.1,Hereditary disturbances in tooth structure,Congenital,1,0
11094,Overbite,524.3,Anomalies of tooth position/malocclusion,,0,0
11096,Peripheral demyelination,357,Inflammatory and toxic neuropathy,,0,9
11097,Epileptic spasms,345.1,Epilepsy,,0,1
11098,Speech apraxia,292.12,Symbolic dysfunction,,0,1
11100,Intestinal atresia,750.21,Congenital anomalies of intestine,Congenital,1,0
11107,Recurrent aphthous stomatitis,528.12,Oral aphthae,,0,4
11108,Recurrent sinusitis,475,Chronic sinusitis,,0,13
11109,Chronic sinusitis,475,Chronic sinusitis,,0,5
11120,Concave nasal ridge,,-,,-,0
11123,Inflammatory abnormality of the skin,,-,,-,0
11127,Perioral eczema,695.3,Rosacea,,0,1
11132,Chronic furunculosis,686.1,Carbuncle and furuncle,,0,0
11133,Increased sensitivity to ionizing radiation,,-,,-,0
11136,Aplasia of the sweat glands,705,Disorders of sweat glands,Congenital,1,0
11146,Dialeptic seizures,345.3,Convulsions,,0,1
11158,Auditory auras,,-,,-,0
11165,Visual auras,368,Visual disturbances,,0,1
11169,Generalized clonic seizures,345.11,Generalized convulsive epilepsy,,0,1
11220,Prominent forehead,,-,,-,0
11224,Ablepharon,749,Congenital anomalies of face and neck,Congenital,1,0
11227,Elevated C-reactive protein level,790.8,Elevated C-reactive protein (CRP),,0,1
11228,Horizontal eyebrow,,-,,-,0
11229,Broad eyebrow,,-,,-,0
11246,Underdeveloped superior crus of antihelix,,-,Congenital,-,0
11251,Underdeveloped antitragus,,-,Congenital,-,0
11266,"Microtia, first degree",749,Congenital anomalies of face and neck,Congenital,1,0
11272,Underdeveloped tragus,,-,Congenital,-,0
11273,Anisocytosis,,-,,-,0
11274,Recurrent mycobacterial infections,031,Diseases due to other mycobacteria,,0,1
11275,Recurrent mycobacterium avium complex infections,031,Diseases due to other mycobacteria,,0,1
11281,Abnormality of urine catecholamine concentration,,-,,-,0
11285,Long-segment aganglionic megacolon,750.21,Congenital anomalies of intestine,Congenital,1,0
11297,Abnormality of digit,,-,,-,0
11300,Broad fingertip,,-,,-,0
11302,Long palm,,-,,-,0
11304,Broad thumb,,-,,-,0
11308,Slender toe,,-,,-,0
11309,Tapered toe,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
11313,Narrow nail,,-,,-,0
11318,Bicoronal synostosis,756.5,Congenital osteodystrophies,Congenital,1,0
11323,Cleft of chin,,-,Congenital,-,0
11325,Pansynostosis,756.5,Congenital osteodystrophies,Congenital,1,0
11327,Posterior plagiocephaly,749,Congenital anomalies of face and neck,Congenital,1,0
11330,Metopic synostosis,756.5,Congenital osteodystrophies,Congenital,1,0
11332,Hemifacial hypoplasia,,-,Congenital,-,0
11335,Frontal hirsutism,704.2,Hirsutism,,0,0
11341,Long upper lip,,-,,-,0
11342,Mild global developmental delay,315,Develomental delays and disorders,Pediatric,1,0
11343,Moderate global developmental delay,315,Develomental delays and disorders,Pediatric,1,0
11344,Severe global developmental delay,315,Develomental delays and disorders,Pediatric,1,0
11349,Abducens palsy,378.5,Paralytic strabismus,,0,1
11353,Arterial intimal fibrosis,,-,,-,0
11355,Localized skin lesion,,-,,-,0
11356,Regional abnormality of skin,,-,,-,0
11359,Dry hair,,-,,-,0
11362,Abnormal hair quantity,,-,,-,0
11364,White hair,,-,,-,0
11372,Aplasia of the inner ear,,-,Congenital,-,0
11379,Dilated vestibule of the inner ear,,-,,-,0
11381,Aplasia of the semicircular canal,,-,Congenital,-,0
11382,Hypoplasia of the semicircular canal,,-,Congenital,-,0
11387,Enlarged vestibular aqueduct,,-,,-,0
11398,Central hypotonia,350.3,Lack of coordination,,0,0
11400,Abnormal CNS myelination,,-,,-,0
11401,Delayed peripheral myelination,,-,Pediatric,-,0
11405,Childhood onset short-limb short stature,264.1,Short stature,Pediatric,1,0
11414,Hydropic placenta,,-,Pregnancy-related,-,0
11423,Hyperchloremia,,-,,-,0
11432,High maternal serum alpha-fetoprotein,,-,Pregnancy-related,-,0
11447,Hyposegmentation of neutrophil nuclei,,-,,-,0
11448,Ankle clonus,350.1,Abnormal involuntary movements,,0,11
11449,Knee clonus,350.1,Abnormal involuntary movements,,0,5
11451,Congenital microcephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
11457,Loss of eyelashes,,-,,-,0
11459,Esophageal carcinoma,150,Cancer of esophagus,,0,1
11467,Absent gallbladder,,-,Congenital,-,0
11473,Villous atrophy,569,Other disorders of intestine,,0,7
11476,Profound sensorineural hearing impairment,389.1,Sensorineural hearing loss,,0,0
11484,Posterior synechiae of the anterior chamber,379.5,Disorders of iris and ciliary body,,0,0
11487,Increased corneal thickness,,-,,-,0
11488,Abnormality of corneal endothelium,,-,,-,0
11492,Abnormality of corneal stroma,,-,,-,0
11496,Corneal neovascularization,370,Keratitis,,0,1
11499,Mydriasis,379.4,Anomalies of pupillary function,,0,0
11500,Polycoria,753,Congenital anomalies of the eye,Congenital,1,0
11501,Anterior lenticonus,753.1,Congenital cataract and lens anomalies,Congenital,1,0
11502,Posterior lenticonus,753.1,Congenital cataract and lens anomalies,Congenital,1,0
11504,Bull's eye maculopathy,362,Other retinal disorders,,0,1
11505,Cystoid macular edema,362.9,Retinal edema,,0,2
11506,Choroidal neovascularization of the macula,362.4,Retinal vascular changes and abnomalities,,0,0
11507,Macular flecks,364.5,Corneal dystrophy,,0,1
11509,Macular hyperpigmentation,362,Other retinal disorders,,0,1
11510,Drusen,362.27,Drusen (degenerative) of retina,,0,1
11516,Rod monochromacy,368.5,Color vision deficiencies,,0,1
11520,Deuteranomoly,368.5,Color vision deficiencies,,0,0
11532,Subretinal exudate,362,Other retinal disorders,,0,0
11536,Right atrial isomerism,747.1,Cardiac congenital anomalies,Congenital,1,0
11537,Left atrial isomerism,747.1,Cardiac congenital anomalies,Congenital,1,0
11560,Mitral atresia,394.1,Mitral valve stenosis and aortic valve stenosis,,0,0
11565,Common atrium,747.11,Cardiac shunt/ heart septal defect,Congenital,1,0
11580,Short chordae tendineae of the mitral valve,,-,,-,0
11599,Mesocardia,747.1,Cardiac congenital anomalies,Congenital,1,0
11611,Interrupted aortic arch,747.1,Cardiac congenital anomalies,Congenital,1,0
11622,Inlet ventricular septal defect,747.11,Cardiac shunt/ heart septal defect,Congenital,1,0
11623,Muscular ventricular septal defect,747.11,Cardiac shunt/ heart septal defect,Congenital,1,0
11663,Right ventricular cardiomyopathy,425.1,Primary/intrinsic cardiomyopathies,,0,8
11672,Cardiac myxoma,212,Benign neoplasm of respiratory and intrathoracic organs,,0,0
11675,Arrhythmia,427,Cardiac dysrhythmias,,0,31
11682,Perimembranous ventricular septal defect,747.11,Cardiac shunt/ heart septal defect,Congenital,1,0
11695,Cerebellar hemorrhage,430.2,Intracerebral hemorrhage,,0,4
11703,Sinus tachycardia,427.8,Sinoatrial node dysfunction (Bradycardia),,0,0
11704,Sick sinus syndrome,427.8,Sinoatrial node dysfunction (Bradycardia),,0,2
11705,First degree atrioventricular block,426.21,First degree AV block,,0,3
11710,Bundle branch block,426.3,Bundle branch block,,0,0
11711,Left anterior fascicular block,426.32,Left bundle branch block,,0,3
11712,Right bundle branch block,426.31,Right bundle branch block,,0,4
11713,Left bundle branch block,426.32,Left bundle branch block,,0,2
11718,Abnormality of the pulmonary veins,,-,,-,0
11727,Peroneal muscle weakness,356,Hereditary and idiopathic peripheral neuropathy,,0,1
11734,Central adrenal insufficiency,255.2,Adrenal hypofunction,,0,2
11743,Adrenal gland agenesis,759.1,"Anomalies of endocrine glands, congenital",Congenital,1,0
11748,Adrenocorticotropic hormone deficiency,253.2,Pituitary hypofunction,,0,0
11749,Adrenocorticotropic hormone excess,,-,,-,0
11750,Neoplasm of the anterior pituitary,194,Cancer of other endocrine glands,,0,0
11755,Ectopic posterior pituitary,759.1,"Anomalies of endocrine glands, congenital",Congenital,1,0
11760,Pituitary growth hormone cell adenoma,227.3,Benign neoplasm of pituitary gland and craniopharyngeal duct (pouch),,0,1
11787,Central hypothyroidism,244.2,Acquired hypothyroidism,,0,1
11788,Increased serum free triiodothyronine (fT3),,-,,-,0
11800,Midface retrusion,,-,,-,0
11801,Enlargement of parotid gland,293.1,"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]",,0,0
11802,Hamartoma of tongue,759,Other and unspecified congenital anomalies,Congenital,1,0
11803,Bifid nose,,-,Congenital,-,0
11807,Type 1 muscle fiber atrophy,772.1,Muscular wasting and disuse atrophy,,0,0
11808,Decreased patellar reflex,350.5,Abnormal reflex,,0,1
11809,Paradoxical myotonia,359.1,Muscular dystrophies,,0,0
11813,Increased cerebral lipofuscin,331,Other cerebral degenerations,,0,0
11814,Increased urinary hypoxanthine,,-,,-,0
11819,Submucous cleft soft palate,749.1,Cleft palate,Congenital,1,0
11822,Broad chin,,-,,-,0
11823,Chin with horizontal crease,,-,,-,0
11824,Chin with H-shaped crease,,-,,-,0
11830,Abnormality of oral mucosa,,-,,-,0
11834,Moyamoya phenomenon,433.32,Moyamoya disease,,0,0
11838,Sclerodactyly,701.3,Circumscribed scleroderma,,0,1
11848,Abdominal colic,,-,Infantile,-,0
11855,Pharyngeal edema,479,Other upper respiratory disease,,0,1
11858,Reduced factor IX activity,,-,Congenital,-,0
11859,Punctate keratitis,370.2,Superficial keratitis,,0,0
11860,Metaphyseal dappling,,-,,-,0
11864,Elevated plasma pyrophosphate,,-,,-,0
11872,Impaired thrombin-induced platelet aggregation,,-,,-,0
11875,Abnormal platelet morphology,,-,,-,0
11877,Increased mean platelet volume,,-,,-,0
11883,Abnormal platelet granules,,-,,-,0
11884,Abnormal umbilical stump bleeding,,-,Congenital,-,0
11886,Hyphema,379.5,Disorders of iris and ciliary body,,0,0
11892,Vitamin K deficiency,261,Vitamin deficiency,,0,0
11900,Hypofibrinogenemia,,-,Congenital,-,0
11902,Abnormal hemoglobin,,-,,-,0
11903,Hemoglobin H,,-,,-,0
11904,Persistence of hemoglobin F,,-,,-,0
11906,Reduced beta/alpha synthesis ratio,,-,,-,0
11907,Reduced alpha/beta synthesis ratio,,-,,-,0
11909,Flattened metacarpal heads,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
11910,Shortening of all phalanges of fingers,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
11916,Toe extensor amyotrophy,772.1,Muscular wasting and disuse atrophy,,0,0
11917,Short 5th toe,,-,,-,0
11923,Decreased activity of mitochondrial complex I,,-,,-,0
11924,Decreased activity of mitochondrial complex III,,-,,-,0
11925,Decreased activity of mitochondrial ATP synthase complex,,-,,-,0
11927,Short digit,,-,,-,0
11929,Hypersegmentation of proximal phalanx of third finger,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
11933,Elongated superior cerebellar peduncle,,-,,-,0
11934,Mesenteric artery aneurysm,442.8,Aneurysm of other specified artery,,0,1
11935,Decreased urinary urate,,-,,-,0
11936,Decreased plasma total carnitine,,-,,-,0
11939,3-4 finger cutaneous syndactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
11941,Anterior wedging of L2,,-,,-,0
11942,Increased urinary sulfite,,-,,-,0
11943,Increased urinary thiosulfate,,-,,-,0
11944,Small vessel vasculitis,446,Polyarteritis nodosa and allied conditions,,0,0
11945,Bronchiolitis obliterans organizing pneumonia,504.1,Idiopathic fibrosing alveolitis,,0,1
11947,Respiratory tract infection,465,Acute upper respiratory infections of multiple or unspecified sites,,0,0
11950,Bronchiolitis,483,Acute bronchitis and bronchiolitis,,0,3
11960,Substantia nigra gliosis,,-,,-,0
11966,Elevated plasma citrulline,,-,,-,0
11968,Feeding difficulties,,-,,-,0
11969,Elevated luteinizing hormone,,-,,-,0
11970,Cerebral amyloid angiopathy,270.33,Amyloidosis,,0,4
11972,Hypoglycorrhachia,,-,,-,0
11973,Paroxysmal lethargy,347,Cataplexy and narcolepsy,,0,1
11974,Myelofibrosis,289.1,Myelofibrosis,,0,2
11977,Elevated urinary homovanillic acid,,-,,-,0
11978,Elevated urinary vanillylmandelic acid,,-,,-,0
11979,Elevated urinary dopamine,,-,,-,0
11980,Cholesterol gallstones,574.2,Calculus of bile duct,,0,1
11981,Pigment gallstones,574.2,Calculus of bile duct,,0,1
11985,Acholic stools,,-,,-,0
11986,Ectopic ossification,728.1,Muscular calcification and ossification,,0,0
11987,Ectopic ossification in muscle tissue,728.1,Muscular calcification and ossification,,0,1
11988,Ectopic ossification in tendon tissue,728.1,Muscular calcification and ossification,,0,1
11989,Ectopic ossification in ligament tissue,728.1,Muscular calcification and ossification,,0,1
11993,Impaired neutrophil bactericidal activity,,-,,-,0
11995,Atrial septal aneurysm,411.41,Aneurysm and dissection of heart,,0,0
11998,Postprandial hyperglycemia,251.1,Hypoglycemia,,0,1
11999,Paranoia,295.2,Paranoid disorders,,0,3
12019,Lens luxation,753.1,Congenital cataract and lens anomalies,Congenital,1,0
12020,Right aortic arch,747.1,Cardiac congenital anomalies,Congenital,1,0
12023,Galactosuria,,-,Congenital,-,0
12024,Hypergalactosemia,,-,Congenital,-,0
12026,Hyperornithinemia,,-,,-,0
12027,Laryngeal edema,473,Diseases of the larynx and vocal cords,,0,1
12028,Hepatocellular adenoma,211,Benign neoplasm of other parts of digestive system,,0,0
12030,Increased urinary cortisol level,,-,,-,0
12032,Lipoma,214,Lipoma,,0,0
12033,Sacral lipoma,214,Lipoma,,0,0
12035,Steatocystoma multiplex,706.2,Sebaceous cyst,,0,0
12038,Corneal guttata,364.51,Fuchs' dystrophy,,0,0
12039,Descemet Membrane Folds,364,Corneal opacity and other disorders of cornea,,0,0
12040,Corneal stromal edema,364.2,Corneal edema,,0,0
12042,Aspirin-induced asthma,495,Asthma,,0,0
12043,Pendular nystagmus,378.2,Nystagmus and other irregular eye movements,,0,2
12045,Retinal flecks,,-,,-,0
12047,Hemeralopia,368.9,Subjective visual disturbances,,0,1
12048,Oromandibular dystonia,333.4,Torsion dystonia,,0,3
12049,Laryngeal dystonia,333.4,Torsion dystonia,,0,0
12050,Anasarca,782.3,Edema,,0,0
12051,Reactive hypoglycemia,251.1,Hypoglycemia,,0,0
12056,Cutaneous melanoma,172.1,"Melanomas of skin, dx or hx",,0,5
12061,Urinary excretion of sialylated oligosaccharides,,-,,-,0
12062,Bone cyst,733.2,Cyst of bone,,0,1
12066,Increased urinary disaccharide excretion,,-,,-,0
12068,Aspartylglucosaminuria,,-,,-,0
12069,Keratan sulfate excretion in urine,,-,,-,0
12070,Chondroitin sulfate excretion in urine,,-,,-,0
12072,Aciduria,,-,,-,0
12074,Tonic pupil,379.4,Anomalies of pupillary function,,0,0
12075,Personality disorder,301,Personality disorders,,0,2
12081,Enlarged cerebellum,,-,,-,0
12087,Abnormal mitochondrial shape,,-,,-,0
12092,Abnormality of exocrine pancreas physiology,,-,,-,0
12095,Multiple joint dislocation,742.2,"Pathological, developmental or recurrent dislocation",,0,0
12098,Edema of the dorsum of feet,782.3,Edema,,0,0
12103,Abnormality of the mitochondrion,,-,,-,0
12107,Increased fibular diameter,,-,,-,0
12108,Primary open angle glaucoma,365.11,Primary open angle glaucoma,,0,0
12110,Hypoplasia of the pons,,-,Congenital,-,0
12113,Abnormality of creatine metabolism,,-,,-,0
12114,Endometrial carcinoma,182,Malignant neoplasm of uterus,,0,0
12115,Hepatitis,070.9,Hepatitis NOS,,0,3
12118,Laryngeal carcinoma,149.4,Cancer of larynx,,0,1
12119,Methemoglobinemia,,-,,-,0
12120,Methylmalonic aciduria,,-,,-,0
12125,Prostate cancer,185,Cancer of prostate,,0,1
12126,Stomach cancer,151,Cancer of stomach,,0,0
12132,Erythroid hyperplasia,,-,,-,0
12133,Erythroid hypoplasia,,-,,-,0
12135,Abnormality of cells of the granulocytic lineage,,-,,-,0
12140,Abnormality of cells of the lymphoid lineage,,-,,-,0
12142,Pancreatic squamous cell carcinoma,157,Pancreatic cancer,,0,1
12143,Abnormality of cells of the megakaryocyte lineage,,-,,-,0
12147,Reduced quantity of Von Willebrand factor,,-,Congenital,-,0
12151,Hemothorax,507,Pleurisy; pleural effusion,,0,0
12152,Foveoschisis,,-,,-,0
12153,Hypotriglyceridemia,,-,,-,0
12156,Hemophagocytosis,,-,,-,0
12165,Oligodactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
12167,Hair-pulling,312.3,Impulse control disorder,,0,0
12168,Head-banging,313.2,Tics and stuttering,,0,0
12173,Orthostatic tachycardia,427.7,Tachycardia NOS,,0,0
12174,Glioblastoma multiforme,191.11,Cancer of brain,,0,0
12175,Resistance to activated protein C,,-,,-,0
12176,Abnormality of natural killer cells,,-,,-,0
12177,Abnormal natural killer cell physiology,,-,,-,0
12178,Reduced natural killer cell activity,,-,,-,0
12180,Cystic medial necrosis,442.1,Aortic aneurysm,,0,1
12182,Oropharyngeal squamous cell carcinoma,149.1,Cancer of oropharynx,,0,1
12183,Hyperplastic colonic polyposis,208,Benign neoplasm of colon,,0,0
12184,Hyperalphalipoproteinemia,,-,,-,0
12185,Constrictive median neuropathy,351,Other peripheral nerve disorders,,0,1
12187,Increased erythrocyte protoporphyrin concentration,,-,,-,0
12188,Hyperemesis gravidarum,643.1,Hyperemesis gravidarum,Pregnancy-related,1,0
12189,Hodgkin lymphoma,201,Hodgkin's disease,,0,1
12191,B-cell lymphoma,202.2,Non-Hodgkins lymphoma,,0,0
12194,Episodic hemiplegia,342,Hemiplegia,,0,1
12197,Insulinoma,211,Benign neoplasm of other parts of digestive system,,0,0
12198,Juvenile colonic polyposis,208,Benign neoplasm of colon,Pediatric,1,0
12201,Reduced prothrombin activity,,-,,-,0
12202,Increased serum bile acid concentration,,-,,-,0
12203,Onychomycosis,110.11,Dermatophytosis of nail,,0,1
12204,Recurrent vulvovaginal candidiasis,112,Candidiasis,,0,0
12205,Globozoospermia,609,Male infertility and abnormal spermatozoa,,0,0
12207,Reduced sperm motility,609,Male infertility and abnormal spermatozoa,,0,2
12208,Nonmotile sperm,609,Male infertility and abnormal spermatozoa,,0,1
12209,Juvenile myelomonocytic leukemia,204.21,"Myeloid leukemia, acute",Pediatric,1,0
12210,Abnormal renal morphology,,-,,-,0
12211,Abnormal renal physiology,,-,,-,0
12213,Decreased glomerular filtration rate,,-,,-,0
12215,Testicular microlithiasis,608,Other disorders of male genital organs,,0,0
12218,Alveolar soft part sarcoma,170.2,Cancer of connective tissue,,0,0
12219,Erythema nodosum,695.81,Erythema nodosum,,0,1
12220,Non-caseating epithelioid cell granulomatosis,446.4,Wegener's granulomatosis,,0,0
12221,Pretibial blistering,695.2,Bullous dermatoses,,0,1
12222,Arachnoid hemangiomatosis,228,"Hemangioma and lymphangioma, any site",,0,0
12223,Splenic rupture,289.5,Diseases of spleen,,0,1
12227,Urethral stricture,592.3,Urethral stricture due to infecton,,0,0
12229,CSF pleocytosis,,-,,-,0
12230,Rhegmatogenous retinal detachment,361.1,Retinal detachment with retinal defect,,0,0
12231,Exudative retinal detachment,361,Retinal detachments and defects,,0,0
12232,Shortened QT interval,426.8,Other cardiac conduction disorders,,0,0
12233,Intramuscular hematoma,729,Other disorders of soft tissues,,0,2
12236,Elevated sweat chloride,,-,,-,0
12237,Urocanic aciduria,,-,,-,0
12238,Hyperchylomicronemia,272.14,Hyperchylomicronemia,,0,2
12239,Atransferrinemia,,-,,-,0
12240,Increased intramyocellular lipid droplets,,-,,-,0
12241,Levator palpebrae superioris atrophy,378.5,Paralytic strabismus,,0,1
12242,Superior rectus atrophy,378.5,Paralytic strabismus,,0,1
12245,Sex reversal,,-,,-,0
12246,Oculomotor nerve palsy,378.5,Paralytic strabismus,,0,1
12248,Prolonged PR interval,426.21,First degree AV block,,0,1
12251,ST segment elevation,,-,,-,0
12254,Ewing's sarcoma,170.1,Bone cancer,,0,1
12256,Absent outer dynein arms,,-,Congenital,-,0
12257,Absent inner dynein arms,,-,Congenital,-,0
12258,Abnormal axonemal organization of respiratory motile cilia,,-,,-,0
12259,Absent inner and outer dynein arms,,-,Congenital,-,0
12260,Abnormal central microtubular pair morphology of respiratory motile cilia,,-,,-,0
12262,Abnormal ciliary motility,,-,,-,0
12263,Immotile cilia,,-,,-,0
12265,Ciliary dyskinesia,,-,,-,0
12266,T-wave alternans,426.7,Abnormal electrocardiogram [ECG] [EKG],,0,1
12268,Myxoid liposarcoma,170.2,Cancer of connective tissue,,0,0
12270,Decreased muscle glycogen content,,-,,-,0
12271,Episodic upper airway obstruction,519.8,"Other diseases of respiratory system, NEC",,0,1
12272,J wave,426.7,Abnormal electrocardiogram [ECG] [EKG],,0,0
12273,Increased carotid artery intimal medial thickness,,-,,-,0
12276,Digital flexor tenosynovitis,,-,,-,0
12277,Hypoglycinemia,,-,,-,0
12279,Hyposerinemia,,-,,-,0
12280,Hepatic amyloidosis,270.33,Amyloidosis,,0,1
12282,Morbilliform rash,687.1,Rash and other nonspecific skin eruption,,0,0
12283,Small distal femoral epiphysis,,-,,-,0
12284,Small proximal tibial epiphyses,,-,,-,0
12286,Abnormal hypothalamus morphology,,-,,-,0
12296,Slender distal phalanx of finger,,-,,-,0
12297,Slender proximal phalanx of finger,,-,,-,0
12299,Long distal phalanx of finger,,-,,-,0
12301,Type II transferrin isoform profile,,-,Congenital,-,0
12302,Herpes simplex encephalitis,323,Encephalitis,,0,0
12307,Spatulate ribs,756.2,Pectus and other congenital anomalies of ribs/sternum,Congenital,1,0
12308,Decreased serum complement C9,,-,,-,0
12309,Cutaneous amyloidosis,270.33,Amyloidosis,,0,0
12311,Monocytosis,,-,,-,0
12312,Monocytopenia,,-,,-,0
12313,Heberden's node,740.2,"Osteoarthrosis, generalized",,0,0
12315,Histiocytoma,,-,,-,0
12321,D-2-hydroxyglutaric aciduria,,-,,-,0
12322,Perifolliculitis,,-,,-,0
12330,Pyelonephritis,590,Pyelonephritis,,0,2
12343,Decreased serum ferritin,,-,,-,0
12368,Flat face,,-,,-,0
12371,Midface prominence,,-,,-,0
12376,Microphakia,,-,,-,0
12378,Fatigue,798,Malaise and fatigue,,0,8
12384,Rhinitis,472,Chronic pharyngitis and nasopharyngitis,,0,9
12385,Camptodactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
12391,Hyporeflexia of upper limbs,350.5,Abnormal reflex,,0,1
12405,Hypocitraturia,,-,,-,0
12407,Scissor gait,350.2,Abnormality of gait,,0,1
12411,Premature pubarche,259.4,Precocious sexual development and puberty NEC,Pediatric,1,0
12426,Optic disc drusen,377,Disorders of optic nerve and visual pathways,,0,1
12428,Prominent calcaneus,,-,,-,0
12444,Brain atrophy,331,Other cerebral degenerations,,0,6
12448,Delayed myelination,,-,Pediatric,-,0
12450,Chronic constipation,563,Constipation,,0,1
12468,Chronic acidosis,276.41,Acidosis,,0,1
12469,Infantile spasms,345.1,Epilepsy,Infantile,1,0
12471,Thick vermilion border,,-,,-,0
12473,Tongue atrophy,529,Diseases and other conditions of the tongue,,0,4
12490,Panniculitis,729.3,Panniculitis,,0,2
12506,Small pituitary gland,,-,,-,0
12508,Metamorphopsia,368.9,Subjective visual disturbances,,0,1
12509,Reduced thyroxin-binding globulin,,-,,-,0
12514,Lower limb pain,773,Pain in limb,,0,0
12517,Reduced catalase activity,,-,,-,0
12521,Optic nerve aplasia,,-,Congenital,-,0
12522,Spider hemangioma,228,"Hemangioma and lymphangioma, any site",,0,1
12531,Pain,,-,,-,0
12532,Chronic pain,338.2,Chronic pain,,0,1
12534,Dysesthesia,687.4,Disturbance of skin sensation,,0,1
12537,Food intolerance,930,Allergic reaction to food,,0,0
12539,Non-Hodgkin lymphoma,202.2,Non-Hodgkins lymphoma,,0,1
12542,Onychauxis,,-,,-,0
12548,Fatty replacement of skeletal muscle,,-,,-,0
12551,Absent neutrophil specific granules,,-,,-,0
12553,Hypoplastic thumbnail,,-,Congenital,-,0
12555,Absent nail of hallux,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
12557,EEG with centrotemporal focal spike waves,,-,,-,0
12559,Increased T3/T4 ratio,,-,,-,0
12569,Delayed menarche,,-,Pediatric,-,0
12570,Synovial sarcoma,170.2,Cancer of connective tissue,,0,0
12577,Thin glomerular basement membrane,580.32,Nephritis and nephropathy with pathological lesion,,0,0
12578,Membranous nephropathy,580.12,Non-proliferative glomerulonephritis,,0,1
12588,Steroid-resistant nephrotic syndrome,580,Nephritis; nephrosis; renal sclerosis,,0,0
12592,Albuminuria,,-,,-,0
12595,Mild proteinuria,269,Proteinuria,,0,1
12605,Hypernatriuria,,-,,-,0
12606,Renal sodium wasting,586,Other disorders of the kidney and ureters,,0,1
12608,Hypermagnesiuria,,-,,-,0
12611,Increased urinary urate,,-,,-,0
12622,Chronic kidney disease,585.3,Chronic renal failure [CKD],,0,5
12637,Renal calcium wasting,588,Disorders resulting from impaired renal function,,0,2
12642,Cerebellar agenesis,,-,Congenital,-,0
12645,Enlarged peripheral nerve,,-,,-,0
12672,Akinetic mutism,292.11,Aphasia,,0,1
12687,Agenesis of pineal gland,,-,Congenital,-,0
12702,Tenesmus,,-,,-,0
12712,Mild hearing impairment,389,Hearing loss,,0,1
